CUST_NO,EPOCH,TRANS_AMOUNT
7168,05/01/2015,700
2108,11/08/2015,1500
5231,10/08/2015,250
4394,08/10/2015,1200
7518,07/09/2015,800
9376,16/04/2015,450
9911,02/02/2015,750
365,08/09/2015,1100
7096,18/09/2015,200
244,05/03/2015,1150
1961,05/01/2015,2150
5291,01/07/2015,1300
3456,06/07/2015,950
1616,30/10/2015,5000
6420,28/05/2015,1200
5119,20/11/2014,200
2198,29/04/2015,850
9605,28/07/2015,1200
4967,29/09/2014,12000
6907,01/08/2014,700
5217,27/10/2015,1600
8323,12/05/2015,1100
5648,16/10/2015,500
7230,19/10/2015,1900
3435,17/06/2015,2800
3748,13/10/2014,1050
8007,22/09/2014,1650
8078,22/12/2014,200
7526,08/07/2015,1050
3595,02/09/2014,600
7075,03/11/2014,700
7160,24/10/2014,1300
5382,29/09/2014,500
3753,23/09/2014,1850
9780,29/07/2015,1350
504,28/07/2014,1200
54,06/10/2014,1100
6886,03/12/2014,500
7946,25/06/2015,800
4269,22/01/2015,650
3999,01/10/2015,450
1811,08/04/2015,600
6579,06/07/2015,800
5114,28/01/2015,1850
6648,20/07/2015,1150
8286,05/08/2014,3100
3759,28/10/2014,1500
3732,01/12/2014,2100
8572,18/05/2015,900
3773,05/08/2015,1150
3091,23/02/2015,800
6674,05/08/2014,1900
8746,05/08/2014,650
6429,01/12/2014,700
7568,02/01/2015,1100
1898,13/02/2015,1100
8763,23/03/2015,1300
2250,26/09/2014,450
7313,28/11/2014,3900
2034,26/08/2015,750
8878,02/07/2015,950
9835,25/05/2015,300
8652,12/01/2015,850
4,28/09/2015,900
937,11/09/2015,1400
1878,20/07/2015,350
4209,21/05/2015,1050
911,16/02/2015,1450
183,02/01/2015,550
1873,09/09/2014,1050
9064,15/05/2015,1650
5241,09/12/2014,1050
9995,18/09/2015,1000
6538,02/09/2014,1100
1581,11/05/2015,950
5432,28/05/2015,2050
4308,07/09/2015,1000
2873,28/07/2014,2000
7168,03/09/2014,700
2108,11/07/2014,1550
5231,13/02/2014,250
4394,08/09/2014,1200
7518,07/10/2014,850
9376,17/08/2015,400
9911,02/10/2015,700
365,08/12/2014,1150
7096,18/03/2015,200
244,07/09/2015,1150
1961,03/07/2015,2100
5291,01/10/2014,1350
3456,06/10/2014,950
1616,30/09/2014,1850
6420,28/11/2014,750
5119,20/04/2015,200
2198,29/07/2015,850
9605,30/03/2015,2350
4967,29/06/2015,11900
6907,05/05/2015,700
5217,28/10/2014,1600
8323,12/12/2014,1100
5648,16/02/2015,500
7230,18/08/2014,800
3435,19/10/2015,2800
3748,14/09/2015,1050
8007,20/10/2015,1650
8078,22/08/2014,200
7526,09/02/2015,1100
3595,04/08/2015,550
7075,02/11/2015,700
7160,25/05/2015,1300
5382,29/06/2015,500
3753,23/07/2015,1900
9780,29/09/2015,1350
504,26/02/2015,1200
54,05/08/2014,1150
6886,03/11/2014,500
7946,28/10/2014,800
4269,22/07/2014,650
3999,01/07/2015,450
1811,12/10/2015,1500
6579,06/01/2015,850
5114,28/08/2014,2200
6648,18/05/2015,1150
8286,05/12/2014,3100
3759,27/01/2015,1500
3732,02/11/2015,2100
8572,16/07/2015,850
3773,05/03/2015,1150
3091,22/06/2015,600
6674,04/11/2014,1900
8746,02/09/2015,650
6429,01/08/2014,700
7568,02/06/2015,1100
1898,14/07/2014,1150
8763,23/09/2014,1300
2250,28/10/2014,450
7313,30/12/2014,3850
2034,26/11/2014,750
8878,02/06/2015,950
9835,25/07/2014,300
8652,11/06/2015,850
4,26/08/2015,900
937,11/08/2015,1400
1878,22/06/2015,350
4209,21/08/2014,1150
911,21/07/2014,1500
183,01/12/2014,550
1873,09/03/2015,1000
9064,15/12/2014,400
5241,09/09/2014,1100
9995,20/10/2014,1000
6538,02/01/2015,1100
1581,13/07/2015,950
5432,28/10/2015,2050
4308,09/02/2015,1000
2873,28/09/2015,2000
7168,05/05/2015,700
2108,11/08/2014,1550
5231,10/12/2014,250
4394,08/05/2015,1200
7518,07/07/2014,850
9376,18/05/2015,450
9911,05/05/2015,750
365,10/11/2014,1150
7096,18/07/2014,200
244,05/09/2014,1150
1961,03/07/2014,2200
5291,01/10/2015,1300
3456,05/09/2014,950
1616,30/09/2015,5000
6420,28/10/2014,1800
5119,21/09/2015,200
2198,30/03/2015,1650
9605,28/08/2014,1200
4967,28/10/2015,11850
6907,01/07/2014,700
5217,29/09/2014,1600
8323,12/02/2015,1100
5648,16/09/2015,500
7230,17/04/2015,1850
3435,17/07/2014,2850
3748,14/07/2014,1050
8007,20/02/2015,1650
8078,23/03/2015,200
7526,08/09/2015,1050
3595,02/02/2015,600
7075,02/07/2015,700
7160,24/06/2015,1200
5382,29/04/2015,500
3753,23/09/2015,1300
9780,30/12/2014,2800
504,26/09/2014,1200
54,05/06/2015,1100
6886,07/04/2015,500
7946,27/04/2015,800
4269,24/11/2014,650
3999,02/03/2015,450
1811,08/09/2014,600
6579,07/04/2015,850
5114,28/09/2015,1850
6648,20/10/2014,1150
8286,05/05/2015,3000
3759,26/08/2014,1500
3732,02/03/2015,2100
8572,17/11/2014,900
3773,07/07/2014,1150
3091,22/05/2015,600
6674,06/07/2015,1800
8746,02/07/2014,650
6429,01/10/2014,700
7568,02/11/2015,1050
1898,13/05/2015,1100
8763,23/07/2014,1300
2250,26/08/2015,400
7313,30/03/2015,6450
2034,26/08/2014,750
8878,02/10/2014,950
9835,27/04/2015,300
8652,11/02/2015,850
4,28/10/2014,950
937,11/11/2014,1400
1878,20/10/2014,350
4209,23/02/2015,1150
911,28/10/2014,1500
183,01/09/2014,550
1873,09/01/2015,1050
9064,15/09/2015,1650
5241,09/10/2014,1050
9995,19/10/2015,1000
6538,02/12/2014,1100
1581,12/01/2015,1000
5432,28/07/2015,2050
4308,09/03/2015,1000
2873,26/08/2014,2000
7168,05/08/2014,700
2108,11/06/2015,1500
5231,10/10/2014,250
4394,08/07/2014,1200
7518,08/06/2015,850
9376,16/07/2015,400
9911,03/11/2014,750
365,08/07/2015,1100
7096,18/02/2015,200
244,07/07/2014,1150
1961,03/03/2015,2150
5291,01/09/2015,1300
3456,05/08/2015,950
1616,30/06/2015,7150
6420,28/09/2015,1200
5119,20/10/2015,200
2198,31/08/2015,850
9605,28/05/2015,1200
4967,28/05/2015,11950
6907,03/11/2014,700
5217,27/07/2015,1600
8323,12/08/2014,1100
5648,16/01/2015,500
7230,17/07/2014,800
3435,18/08/2014,2850
3748,13/07/2015,1050
8007,20/04/2015,1650
8078,22/07/2014,200
7526,08/06/2015,1100
3595,02/10/2014,600
7075,02/04/2015,700
7160,24/04/2015,1300
5382,29/05/2015,500
3753,23/01/2015,1100
9780,29/01/2015,1400
504,26/11/2014,1200
54,05/09/2014,1150
6886,03/06/2015,500
7946,25/03/2015,800
4269,22/06/2015,650
3999,02/06/2015,450
1811,08/05/2015,600
6579,06/08/2014,850
5114,28/10/2015,1850
6648,18/12/2014,1150
8286,07/04/2015,3000
3759,24/02/2015,1500
3732,01/07/2015,2100
8572,16/09/2014,900
3773,05/02/2015,1150
3091,24/11/2014,800
6674,04/12/2014,1900
8746,04/08/2015,650
6429,02/03/2015,700
7568,01/10/2014,1150
1898,13/10/2014,1150
8763,23/01/2015,1300
2250,27/10/2015,400
7313,02/02/2015,1250
2034,27/04/2015,750
8878,03/11/2014,950
9835,25/09/2014,300
8652,11/07/2014,850
4,26/09/2014,950
937,11/12/2014,1400
1878,20/04/2015,350
4209,22/12/2014,1150
911,22/12/2014,1450
183,01/08/2014,550
1873,10/11/2014,1050
9064,17/11/2014,400
5241,09/09/2015,1050
9995,18/11/2014,1000
6538,02/06/2015,1100
1581,12/10/2015,950
5432,29/06/2015,2050
4308,07/07/2014,1050
2873,26/01/2015,2000
7168,03/07/2015,700
2108,12/10/2015,1450
5231,10/07/2015,250
4394,10/08/2015,1200
7518,07/10/2015,800
9376,16/09/2015,400
9911,02/04/2015,750
365,08/05/2015,1150
7096,18/06/2015,200
244,05/10/2015,1150
1961,03/11/2014,2200
5291,01/04/2015,1350
3456,07/09/2015,900
1616,30/01/2015,1400
6420,29/09/2014,1800
5119,22/09/2014,200
2198,29/01/2015,850
9605,29/06/2015,1200
4967,30/06/2014,700
6907,01/09/2014,700
5217,27/01/2015,1600
8323,12/08/2015,1100
5648,18/08/2014,500
7230,17/10/2014,1750
3435,17/09/2015,2800
3748,13/02/2015,1050
8007,20/08/2015,1650
8078,22/04/2015,200
7526,08/12/2014,1100
3595,02/10/2015,550
7075,02/10/2014,700
7160,24/12/2014,1300
5382,29/08/2014,500
3753,23/06/2015,1900
9780,30/03/2015,2800
504,28/09/2015,1200
54,05/01/2015,1100
6886,05/08/2014,500
7946,25/09/2015,800
4269,23/03/2015,650
3999,01/09/2014,450
1811,08/07/2014,600
6579,06/02/2015,850
5114,29/09/2014,2200
6648,18/02/2015,1150
8286,06/07/2015,3000
3759,25/11/2014,1500
3732,04/08/2015,2100
8572,16/12/2014,900
3773,05/01/2015,1150
3091,24/08/2015,550
6674,04/08/2015,1800
8746,02/11/2015,650
6429,01/07/2015,700
7568,02/03/2015,1100
1898,13/08/2014,1150
8763,24/11/2014,1300
2250,26/02/2015,450
7313,28/05/2015,3850
2034,26/03/2015,750
8878,02/02/2015,950
9835,25/02/2015,300
8652,11/12/2014,850
4,26/03/2015,900
937,13/04/2015,1400
1878,22/09/2014,350
4209,21/10/2014,1150
911,19/01/2015,1450
183,01/07/2014,550
1873,11/08/2014,1050
9064,15/08/2014,400
5241,09/02/2015,1050
9995,18/03/2015,1000
6538,02/11/2015,1100
1581,11/09/2014,1050
5432,30/03/2015,4100
4308,07/01/2015,1000
2873,26/06/2015,2000
7168,03/11/2014,700
2108,11/11/2014,1550
5231,13/03/2015,250
4394,08/06/2015,1200
7518,07/05/2015,850
9376,16/03/2015,450
9911,02/07/2014,750
365,08/10/2015,1050
7096,20/04/2015,200
244,05/06/2015,1150
1961,03/02/2015,2150
5291,05/05/2015,1350
3456,05/11/2014,950
1616,30/04/2015,3100
6420,30/03/2015,2400
5119,20/02/2015,200
2198,29/09/2014,850
9605,28/10/2015,1200
4967,30/03/2015,12600
6907,01/09/2015,700
5217,28/09/2015,1600
8323,12/09/2014,1100
5648,16/03/2015,500
7230,17/02/2015,1700
3435,19/01/2015,2800
3748,15/06/2015,1050
8007,21/07/2014,1650
8078,22/01/2015,200
7526,08/05/2015,1100
3595,05/08/2014,500
7075,02/03/2015,700
7160,27/10/2015,1200
5382,29/09/2015,500
3753,23/10/2015,1300
9780,29/08/2014,1400
504,26/05/2015,1200
54,05/02/2015,1100
6886,03/07/2015,500
7946,25/09/2014,800
4269,22/08/2014,650
3999,01/12/2014,450
1811,08/06/2015,600
6579,07/07/2014,850
5114,28/04/2015,1850
6648,18/07/2014,1150
8286,05/09/2014,3100
3759,30/09/2014,1850
3732,02/01/2015,2100
8572,16/10/2014,900
3773,07/09/2015,1150
3091,22/01/2015,800
6674,04/09/2014,1900
8746,02/12/2014,650
6429,02/06/2015,700
7568,05/05/2015,1100
1898,13/01/2015,1100
8763,23/12/2014,1300
2250,28/09/2015,400
7313,28/10/2014,3850
2034,30/12/2014,750
8878,04/08/2015,950
9835,25/08/2014,300
8652,11/09/2014,850
4,26/11/2014,950
937,11/08/2014,1400
1878,21/07/2014,350
4209,21/08/2015,1050
911,28/09/2015,1450
183,05/05/2015,550
1873,10/08/2015,1000
9064,16/02/2015,400
5241,11/08/2014,1100
9995,18/12/2014,1000
6538,02/04/2015,1100
1581,11/11/2014,1050
5432,30/12/2014,2050
4308,07/07/2015,1000
2873,26/08/2015,2000
7168,03/12/2014,700
2108,11/09/2015,1500
5231,10/04/2015,250
4394,09/02/2015,1200
7518,07/08/2015,800
9376,16/10/2014,450
9911,05/08/2014,750
365,08/07/2014,1150
7096,19/01/2015,200
244,07/04/2015,1150
1961,04/08/2015,2100
5291,01/08/2014,1350
3456,05/01/2015,950
1616,30/10/2014,1400
6420,28/08/2015,1200
5119,20/07/2015,200
2198,29/07/2014,850
9605,28/07/2014,1200
4967,28/07/2015,11900
6907,01/07/2015,700
5217,30/12/2014,1600
8323,13/10/2014,1100
5648,16/07/2015,500
7230,17/07/2015,1800
3435,17/04/2015,2800
3748,13/03/2015,1050
8007,22/06/2015,1650
8078,22/05/2015,200
7526,08/09/2014,1100
3595,02/01/2015,600
7075,02/10/2015,700
7160,24/08/2015,1200
5382,31/08/2015,500
3753,25/08/2014,1850
9780,29/06/2015,1350
504,27/10/2015,1200
54,06/07/2015,1100
6886,03/03/2015,500
7946,25/08/2015,800
4269,22/05/2015,650
3999,07/01/2015,900
1811,10/09/2015,1550
6579,08/12/2014,850
5114,28/05/2015,1850
6648,18/08/2014,1150
8286,07/07/2014,3100
3759,26/05/2015,1500
3732,01/10/2015,2100
8572,16/03/2015,900
3773,05/08/2014,1150
3091,22/10/2014,1500
6674,05/05/2015,1850
8746,03/11/2014,650
6429,01/04/2015,700
7568,03/11/2014,1150
1898,13/07/2015,1100
8763,23/10/2014,1300
2250,26/06/2015,400
7313,02/06/2015,1250
2034,27/07/2015,750
8878,02/09/2015,950
9835,30/12/2014,300
8652,11/11/2014,850
4,26/02/2015,900
937,11/07/2014,1400
1878,21/09/2015,350
4209,22/06/2015,1050
911,31/08/2015,2150
183,04/08/2015,550
1873,09/06/2015,1000
9064,17/08/2015,1650
5241,10/11/2014,1050
9995,18/06/2015,1000
6538,05/05/2015,1100
1581,11/06/2015,950
5432,28/07/2014,2100
4308,07/04/2015,1000
2873,30/12/2014,2000
7168,03/09/2015,700
2108,11/02/2015,1550
5231,13/02/2015,250
4394,08/12/2014,1200
7518,07/08/2014,850
9376,16/01/2015,450
9911,02/06/2015,750
365,09/03/2015,1150
7096,19/10/2015,200
244,05/05/2015,1150
1961,03/09/2014,2200
5291,01/09/2014,1350
3456,07/07/2014,900
1616,31/08/2015,5000
6420,28/07/2015,1200
5119,22/06/2015,200
2198,29/10/2014,850
9605,30/12/2014,1200
4967,28/07/2014,12000
6907,02/11/2015,700
5217,27/05/2015,1600
8323,12/03/2015,1100
5648,16/06/2015,500
7230,17/06/2015,1850
3435,17/02/2015,2800
3748,13/05/2015,1050
8007,20/11/2014,1650
8078,22/06/2015,150
7526,08/08/2014,1100
3595,02/07/2014,500
7075,02/01/2015,700
7160,24/02/2015,1300
5382,29/07/2014,500
3753,23/10/2014,1100
9780,31/08/2015,1350
504,26/06/2015,1200
54,05/11/2014,1100
6886,05/05/2015,500
7946,30/12/2014,800
4269,22/09/2014,650
3999,01/09/2015,450
1811,08/10/2014,600
6579,08/06/2015,850
5114,28/07/2015,1850
6648,19/01/2015,1150
8286,07/09/2015,3000
3759,28/07/2015,1500
3732,01/07/2014,2100
8572,17/08/2015,850
3773,07/04/2015,1150
3091,22/09/2014,3000
6674,05/10/2015,1800
8746,02/10/2014,650
6429,04/08/2015,700
7568,02/02/2015,1100
1898,15/06/2015,1100
8763,23/04/2015,1300
2250,26/01/2015,450
7313,28/08/2014,3850
2034,26/09/2014,750
8878,02/03/2015,950
9835,25/09/2015,300
8652,11/03/2015,850
4,27/04/2015,900
937,13/07/2015,1400
1878,22/12/2014,350
4209,21/10/2015,1000
911,20/07/2015,1450
183,02/11/2015,550
1873,09/02/2015,1000
9064,16/03/2015,400
5241,09/07/2014,1100
9995,19/01/2015,1000
6538,02/10/2015,1100
1581,11/03/2015,950
5432,28/10/2014,2050
4308,07/10/2014,1050
2873,27/10/2015,2000
7168,03/10/2014,700
2108,13/04/2015,1550
5231,11/08/2014,250
4394,08/07/2015,1200
7518,07/11/2014,850
9376,16/10/2015,400
9911,02/10/2014,750
365,08/04/2015,1150
7096,20/10/2014,200
244,05/01/2015,1150
1961,03/06/2015,2150
5291,01/12/2014,1350
3456,07/04/2015,950
1616,30/07/2015,5000
6420,30/12/2014,1200
5119,20/08/2014,200
2198,30/12/2014,1650
9605,28/08/2015,1200
4967,26/02/2015,11300
6907,02/02/2015,700
5217,28/07/2014,1600
8323,13/04/2015,1100
5648,16/07/2014,500
7230,17/12/2014,1700
3435,17/07/2015,2800
3748,13/08/2014,1050
8007,20/07/2015,1650
8078,22/09/2015,150
7526,08/04/2015,1100
3595,02/04/2015,600
7075,02/07/2014,700
7160,24/03/2015,1300
5382,30/03/2015,1000
3753,23/12/2014,1100
9780,29/09/2014,1400
504,26/01/2015,1200
54,05/03/2015,1100
6886,03/09/2014,500
7946,25/07/2014,800
4269,22/07/2015,650
3999,01/08/2014,450
1811,09/03/2015,600
6579,06/10/2015,800
5114,30/06/2014,2200
6648,18/06/2015,1150
8286,05/02/2015,3050
3759,29/09/2015,1850
3732,02/02/2015,2100
8572,16/10/2015,850
3773,05/12/2014,1150
3091,22/12/2014,800
6674,04/03/2015,1850
8746,02/07/2015,650
6429,01/07/2014,700
7568,01/07/2014,1150
1898,15/12/2014,1100
8763,25/05/2015,1300
2250,27/04/2015,450
7313,29/09/2014,3850
2034,28/10/2014,750
8878,02/01/2015,950
9835,27/07/2015,300
8652,13/10/2014,850
4,26/06/2015,900
937,11/09/2014,1400
1878,20/05/2015,350
4209,21/11/2014,1150
911,24/11/2014,1500
183,02/06/2015,550
1873,09/07/2015,1000
9064,15/06/2015,1650
5241,10/08/2015,1050
9995,18/08/2014,1000
6538,02/02/2015,1100
1581,13/04/2015,950
5432,28/08/2014,2100
4308,07/05/2015,1000
2873,26/11/2014,2000
7168,03/02/2015,700
2108,12/01/2015,1550
5231,12/01/2015,250
4394,09/03/2015,1200
7518,08/12/2014,850
9376,16/02/2015,450
9911,02/09/2015,700
365,08/09/2014,1150
7096,18/05/2015,200
244,06/07/2015,1150
1961,05/10/2015,2100
5291,01/07/2014,1350
3456,05/06/2015,950
1616,30/07/2014,1450
6420,28/10/2015,1200
5119,20/05/2015,200
2198,30/06/2014,850
9605,29/09/2014,1200
4967,28/11/2014,12000
6907,01/12/2014,700
5217,27/02/2015,1600
8323,12/11/2014,1100
5648,17/11/2014,500
7230,18/05/2015,1850
3435,17/11/2014,2800
3748,13/01/2015,1050
8007,20/01/2015,1650
8078,23/02/2015,200
7526,08/10/2014,1100
3595,02/03/2015,600
7075,02/02/2015,700
7160,24/09/2015,1200
5382,29/07/2015,500
3753,23/03/2015,1100
9780,29/05/2015,1350
504,27/04/2015,1200
54,07/09/2015,1100
6886,03/07/2014,500
7946,25/05/2015,800
4269,22/10/2014,650
3999,03/11/2014,450
1811,08/07/2015,600
6579,06/03/2015,850
5114,30/03/2015,3700
6648,20/04/2015,1150
8286,05/03/2015,3000
3759,30/06/2015,1850
3732,01/08/2014,2100
8572,16/02/2015,900
3773,06/10/2014,1150
3091,22/07/2015,550
6674,04/07/2014,1900
8746,02/06/2015,650
6429,01/09/2014,700
7568,01/10/2015,1100
1898,13/04/2015,1100
8763,23/06/2015,1300
2250,26/05/2015,450
7313,28/04/2015,3850
2034,26/05/2015,750
8878,02/10/2015,950
9835,25/11/2014,300
2780,16/10/2015,600
4,28/07/2014,950
937,11/05/2015,1400
1878,20/08/2015,350
4209,21/01/2015,1150
911,30/03/2015,2200
183,02/02/2015,550
1873,09/04/2015,1000
9064,15/07/2014,400
5241,09/01/2015,1050
9995,20/07/2015,1000
6538,03/11/2014,1100
1581,11/12/2014,1000
5432,30/06/2014,2100
4308,08/12/2014,1000
2873,26/03/2015,2000
7168,05/10/2015,700
2108,11/05/2015,1550
4791,08/10/2015,750
4394,08/01/2015,1200
7518,08/09/2014,850
9376,16/06/2015,400
9911,02/11/2015,700
365,08/01/2015,1150
7096,20/07/2015,200
244,06/10/2014,1150
1961,05/05/2015,2150
5291,02/03/2015,1350
3456,05/12/2014,950
1616,09/02/2015,1000
6420,29/06/2015,1200
5119,20/08/2015,200
2198,29/06/2015,850
9605,30/06/2014,1200
4967,02/11/2015,600
6907,02/06/2015,700
5217,27/08/2015,1600
8323,13/07/2015,1100
5648,16/04/2015,500
7230,17/08/2015,1800
3435,17/12/2014,2800
3748,13/10/2015,1050
8007,20/05/2015,1650
8078,24/11/2014,200
7526,08/01/2015,1100
3595,02/06/2015,600
7075,02/06/2015,700
7160,27/11/2014,1300
5382,30/12/2014,1000
3753,24/11/2014,1100
9780,30/06/2014,1400
504,28/10/2014,1200
54,05/05/2015,1100
6886,04/08/2015,500
7946,26/01/2015,800
4269,22/10/2015,650
3999,01/07/2014,450
1811,10/11/2014,600
6579,06/05/2015,850
5114,30/12/2014,1850
6648,18/03/2015,1150
8286,06/10/2014,3100
3759,31/03/2015,1850
3732,01/09/2014,2100
8572,16/01/2015,900
3773,05/11/2014,1150
3091,23/03/2015,800
6674,06/10/2014,1900
8746,05/05/2015,650
6429,01/10/2015,700
7568,01/09/2015,1100
1898,13/10/2015,1050
4688,27/07/2015,1100
2250,27/07/2015,400
7313,28/01/2015,3850
2034,28/09/2015,750
8878,02/09/2014,1000
9835,25/08/2015,300
2780,16/09/2014,650
4,27/10/2015,850
937,13/10/2014,1400
1878,20/11/2014,350
4209,21/04/2015,1050
911,29/09/2014,2250
183,02/03/2015,550
1873,09/10/2014,1050
9064,15/01/2015,400
5241,09/03/2015,1050
9995,20/04/2015,1000
6538,04/08/2015,1100
1581,11/08/2015,950
5432,28/08/2015,2050
4308,08/06/2015,1000
2873,28/10/2014,2050
7168,07/04/2015,700
2108,13/10/2014,1550
4791,08/10/2014,800
4394,08/08/2014,1200
7518,07/01/2015,850
8695,03/02/2015,1050
9911,02/03/2015,750
365,08/10/2014,1150
7096,18/11/2014,200
244,05/08/2015,1150
1961,05/08/2014,2200
5291,02/02/2015,1350
3456,05/05/2015,950
1616,07/11/2014,1000
6420,28/01/2015,1200
5119,21/07/2014,200
2198,29/05/2015,850
9605,28/09/2015,1200
4967,28/01/2015,11950
6907,01/04/2015,700
5217,29/06/2015,1600
8323,14/07/2014,1100
5648,16/10/2014,500
7230,17/11/2014,1750
3435,18/05/2015,2800
3748,15/12/2014,1050
8007,21/09/2015,1650
8078,22/10/2014,200
7526,08/10/2015,1050
3595,02/12/2014,600
7075,05/08/2014,700
9549,10/02/2015,1250
5382,29/10/2015,500
3753,23/02/2015,1100
9780,29/10/2014,1400
504,30/12/2014,1200
54,07/07/2014,1150
6886,05/01/2015,500
7946,27/07/2015,800
4269,22/04/2015,650
3999,01/10/2014,450
1811,10/08/2015,1550
6579,08/09/2014,850
5114,28/11/2014,1850
8810,30/03/2015,1400
8286,05/01/2015,3050
3759,25/08/2015,1500
3732,01/10/2014,2100
8572,16/04/2015,900
3773,05/05/2015,1150
3091,22/04/2015,800
6674,07/04/2015,1850
8746,02/02/2015,650
6429,05/05/2015,700
7568,01/08/2014,1150
1898,13/11/2014,1150
4688,25/09/2014,1150
2250,26/03/2015,450
751,24/07/2015,700
2034,26/06/2015,750
8878,02/07/2014,1000
9835,28/10/2014,300
2780,17/11/2014,650
4,30/12/2014,900
937,11/03/2015,1400
1878,20/02/2015,350
4209,21/07/2015,1050
911,27/10/2015,1400
183,01/10/2015,550
1873,09/07/2014,1050
9064,15/09/2014,1600
5241,09/04/2015,1050
9995,18/09/2014,1000
6538,05/08/2014,1100
1581,11/02/2015,950
5432,28/09/2015,2050
4308,07/11/2014,1050
2873,26/05/2015,2000
7168,03/07/2014,700
2108,11/03/2015,1550
4791,08/12/2014,800
4394,10/11/2014,1200
7518,09/02/2015,850
8695,03/07/2014,250
9911,02/01/2015,750
365,08/08/2014,1150
7096,18/08/2015,200
