CUST_NO,BALANCE
8537,5000
571,21500
770,3000
4692,1000
6899,19000
8554,1000
3076,4000
8816,19500
569,3500
5130,500
6667,1000
989,16000
4113,5000
352,500
5847,10000
598,1500
1160,6500
576,3000
3547,10000
3669,35000
5923,8000
6729,24500
6055,3500
4154,13500
879,31500
9120,6000
5067,7500
6079,6500
7056,15500
9218,10000
2658,3000
9220,2500
758,2000
1287,2000
7684,500
748,6500
6271,10000
4203,2000
9284,5000
424,500
1510,500
3093,2500
5710,4500
6360,48000
1663,6500
8521,4500
2664,2000
3839,1500
5869,27000
111,21500
6946,500
9004,500
7707,30500
6391,1000
2607,1500
3758,1000
2503,10000
4449,500
2353,8000
8395,1000
5557,3000
1597,2000
6991,7500
3688,1000
1595,5500
7304,8000
1994,3500
5319,1000
3775,1000
4208,1500
1113,1000
7747,1500
9795,11000
7924,8000
8960,6500
4768,8000
5634,5000
2361,63500
5061,14000
3738,5500
747,30500
9352,4000
7383,14000
9718,1500
787,5000
3923,18500
4136,10000
3063,19500
2176,3500
1394,500
4446,500
6034,17000
1066,2500
1633,500
6877,4000
3509,3500
2516,58000
8298,4500
1496,1000
524,3000
3244,6000
8066,3000
3157,132000
8367,500
2141,1000
6036,1000
9577,15500
2946,2500
115,1500
1375,4500
7457,2000
756,1000
2125,500
3642,3000
2084,1000
6396,1500
7201,6000
766,9000
7879,5000
4230,500
8175,500
3615,3000
9081,5500
3193,33500
9740,1500
6436,1000
9181,3500
7456,2500
9209,6500
8318,15000
1634,500
1310,1000
8429,1500
2547,3000
3993,10000
5079,27000
8459,2000
8104,13000
2488,6000
8747,15500
3385,2500
322,107500
966,500
2710,40500
776,500
4652,1000
7458,1000
1256,1500
7033,8000
5435,2500
9657,5000
7812,3000
3696,6500
356,8500
9571,18000
5911,1000
8679,1500
8728,1000
6488,2500
3430,1000
567,4500
7210,500
5366,1000
998,1000
463,500
7897,10500
9903,1500
5443,1500
6557,6500
6747,9500
2375,1500
1479,4500
5669,40500
6424,3000
3231,1500
4289,15000
2707,2000
4133,1500
5465,5500
2867,500
1240,8500
7815,6500
2158,17500
1443,500
6805,12000
8693,2000
5820,2000
8688,2000
5606,1500
5898,3500
6896,500
4057,1500
3882,194500
5679,13500
9893,2500
7521,4500
8556,1000
6318,25000
9983,34500
2834,5000
910,7000
434,2000
6495,10000
9948,26000
3922,115500
7612,1500
7020,1500
2734,500
1400,53000
8773,500
2190,500
9506,4500
4119,10000
6228,7000
1455,4500
680,1000
3009,2000
1770,1000
653,9000
2896,2000
6015,8000
8830,1500
4056,6500
476,5000
6855,4500
5210,7500
6250,5500
9250,4500
4677,1500
7411,2000
8940,500
6384,19500
2589,5500
6392,1500
457,1500
3951,500
9403,4500
7915,500
5556,1500
5974,1000
4185,1500
2149,1500
7099,1000
4360,1500
660,1500
9443,3000
7264,3500
8753,2000
1659,5000
5796,1000
8898,3500
113,1000
7856,5000
2262,4000
3800,1000
3060,9000
809,2000
8380,3000
484,24500
4647,500
197,1000
9749,8500
5318,9000
2768,14000
3707,500
1647,17500
3611,7500
9640,19000
8122,7500
6149,90000
5083,1000
9800,2000
2107,3500
2948,3000
8809,2000
3657,4000
1508,21000
3206,1000
8309,3500
1075,5000
9002,55500
8086,7000
671,1000
2747,7000
8866,23000
8977,1000
9870,1000
9015,16500
6405,10000
864,21500
9087,10000
6937,5000
9940,500
762,23500
6260,500
871,2500
6585,15000
7760,5500
7581,7000
5534,1500
5940,21500
2643,500
7658,27500
1910,2500
7697,3000
112,23500
1553,1000
5438,1000
5409,14500
8560,2000
836,2500
1245,500
781,2500
9662,500
7031,500
4752,2000
179,1500
709,2000
4634,500
8708,1000
1224,3000
4681,3000
5587,10500
2978,1500
744,500
3889,3500
9618,4500
2119,2000
7385,1000
3254,3000
6472,1500
516,5500
6180,1000
8188,1500
3877,203000
2819,4500
2367,1500
5516,4500
107,1000
6815,1000
6465,5500
6930,1000
9192,3000
9133,4500
7476,500
520,1000
4659,3500
9854,3000
2227,2500
2409,7000
2221,8000
5722,10500
1415,500
7913,1500
4091,10500
9580,3500
5256,1000
3608,1000
1783,6500
899,15500
7819,10000
4287,25000
9468,13500
2505,500
8860,15500
1190,2500
590,7500
4395,7500
72,10000
7777,500
8399,500
9513,500
4364,11500
5101,2500
3847,1000
8098,8500
7671,500
3160,21000
9333,4000
9233,2000
4622,5500
9759,12500
7702,6000
2088,500
4475,7000
313,2500
9639,5500
5474,2000
5136,9000
8998,69000
9529,500
9666,10000
5053,4500
8844,7000
8316,3000
3331,4000
5132,5500
8165,2000
4704,4500
4160,500
7882,2000
9356,1000
8623,500
5186,30500
802,3000
4184,8000
3967,13500
9054,1000
8958,4000
7382,6000
988,500
7883,500
2985,2000
1780,4500
2369,500
4197,1000
380,2000
4944,500
8487,23000
4046,2500
5055,500
6281,4000
3516,500
6611,1500
5168,500
2913,1000
1121,500
9495,10000
5085,2000
8882,6500
2239,16500
763,59500
7573,1000
9489,6000
5885,4500
9301,24500
1790,500
9380,52000
9417,2500
3025,8000
5754,6000
732,2000
3636,21000
4631,2500
131,57000
6510,8000
3087,10000
9029,500
2435,1500
9078,1500
6983,1500
7644,3500
9545,500
4577,3500
3384,1000
8640,2000
9562,500
8356,5500
1468,2500
6403,2000
6581,4500
9988,27500
8822,1000
320,500
1173,2500
2930,3500
4886,9000
1953,7000
9789,8500
367,2500
7487,1000
9711,1500
4198,2500
1090,3000
8310,2500
4612,2000
3886,500
8552,1500
8052,1000
6044,11500
451,32500
3302,7000
968,12000
8611,500
4889,4000
5838,500
1108,4500
8992,1000
7336,3000
2029,1500
5183,1000
468,8500
4655,8000
9288,42000
1765,2000
8806,6500
1150,5500
2072,14000
6838,1000
9848,21000
342,2000
2778,2500
5547,1500
9939,500
7127,3000
7018,3000
1845,500
9647,2500
7189,500
9802,1000
2180,2000
8670,5500
7535,3000
1444,1000
4862,3500
259,10500
460,1000
9289,8500
4694,5500
2689,5500
5470,14500
2765,1500
9930,3000
8092,500
5291,10000
8037,18500
6692,4000
3729,500
4736,1000
297,5000
5908,7500
8135,3000
894,13000
5027,4000
9140,2000
2590,500
674,12500
8262,1000
5961,9500
234,6000
5724,500
3473,500
47,6000
4470,63500
841,5500
3077,19500
6385,1000
3264,1500
203,1500
7565,5500
4126,7500
7552,500
9074,7000
6263,23000
8339,1000
6944,5000
9611,500
6241,3000
7870,4500
9155,500
1547,2500
5187,500
181,500
8966,4000
6326,8500
1738,1000
9097,1500
5666,6500
2379,2500
5364,500
4422,55500
558,8000
7959,500
132,7000
2986,2000
7186,3000
5553,20000
3187,500
5058,2500
4147,500
9712,1500
3848,500
7353,4500
4466,8000
3673,6500
2036,42000
2401,7000
4385,2000
6312,4000
1703,3000
4520,3000
5378,1000
3767,7000
5233,5000
4539,9000
7738,2000
5788,1500
6022,2000
5944,5500
6947,1500
4302,20000
3536,5000
162,10000
1766,1000
1030,500
3613,1500
513,32000
7944,13500
9334,2000
7464,9500
675,1500
1982,500
3520,500
9644,2500
7809,16500
5756,1000
4854,7500
8283,500
4388,6500
4865,36500
1088,18500
5824,65500
335,2000
9806,1500
5491,2000
3675,25500
8930,3500
1177,1500
3968,500
7922,6000
617,1000
8422,1000
4447,1500
3324,2500
2569,5500
257,4000
2784,8000
5322,68500
9118,1500
7190,2500
7516,13500
5320,5000
9914,500
8872,2000
5274,3000
6226,2000
7220,500
1677,11000
6411,6500
3627,7500
5433,1000
906,500
9782,2000
923,17000
8626,1000
6989,2500
469,5500
7282,1000
4997,2000
2420,4000
2690,1500
9320,1000
2846,4500
1490,2000
8544,6500
1474,500
5893,3500
4034,5000
9035,2500
658,1000
525,500
2102,14000
2447,2000
1742,2000
4075,2000
227,1000
23,6000
6590,1000
9462,8000
2518,54000
9390,10000
4027,1500
5338,1000
8933,6500
6141,31000
8750,500
2580,1500
4690,18000
8320,9000
7649,11500
7773,1000
8353,16000
9159,3000
5412,11500
5173,6500
1266,500
375,1500
2782,500
8426,9000
6456,3000
1560,8000
2217,34500
3289,4500
5262,2000
9274,1500
1064,4500
1545,500
163,4000
9386,1000
9758,26500
5454,2500
5034,500
5317,3000
3804,5500
3147,8500
4567,1500
7212,7000
1199,1500
192,19500
6957,1000
6512,5000
1320,1000
9025,1500
2627,500
4632,4000
7068,46000
5314,3000
4353,3000
5062,2500
693,3000
5603,3000
2259,500
3949,8000
8721,1000
764,500
882,2500
7459,15000
3002,2500
1186,6000
9225,3500
3483,119000
7616,78000
4878,2000
2758,4500
9472,1500
2570,1500
2224,500
9689,2000
780,13000
6529,2000
796,2000
2305,17000
8473,500
2979,33000
1148,1000
7670,500
5872,1500
2833,21000
3447,10000
6221,4000
9278,12000
6444,500
6393,6500
2939,9500
4905,3000
9704,1500
22,2500
1583,9500
743,500
2604,2000
8463,4000
5290,5500
6080,4000
6993,7000
6754,11500
6764,1500
4080,64500
4928,1000
8983,500
7668,28000
3394,4500
2525,6000
1535,8500
2567,12500
3925,125000
3817,5500
68,3000
3682,2500
9951,7500
716,13500
4162,3500
7803,1000
3680,500
9101,1500
7263,2000
9796,4500
7233,4500
6588,1000
6795,500
2620,28000
8943,1500
9502,3500
6738,6500
1679,1500
9869,1000
1006,120000
7650,500
2541,14000
7453,2000
3293,6000
2860,9500
4009,16000
610,1000
9846,5000
5996,13000
9849,9500
8009,500
6161,15000
2805,1000
1600,12500
3010,9000
2296,12500
7460,10000
3146,5500
8142,14500
5663,4500
3853,1000
6597,7000
9532,500
6925,2000
9460,1500
4436,3500
3899,139500
7952,3000
8664,3500
2328,7000
7810,10000
8832,2500
2413,5500
7089,5000
2218,500
6913,3000
7830,500
9533,2000
86,21500
7256,1000
2565,1000
9551,61500
6182,7000
7592,1000
2025,2000
9726,5000
1696,3500
8327,6000
7524,13000
7683,1500
643,500
9584,21000
1504,10000
2010,4000
5380,2000
3561,500
6828,1000
8795,8000
5425,1000
2163,1500
838,500
8260,2000
4071,23500
2090,6500
2882,3500
1590,5000
4617,5000
5096,4500
5490,5500
2472,8000
4170,3000
5039,500
5953,4000
341,5500
5635,16500
3554,10500
2161,3000
7873,1500
1248,7000
1239,5500
2429,23000
6382,314500
79,1000
5529,500
4844,1500
9508,500
2343,4500
5642,3000
6864,1500
8561,5000
385,16000
8922,500
2153,1000
7373,2500
703,1500
9833,5000
63,60000
6853,1000
9269,166000
4259,14500
7860,500
9615,2000
3108,500
5794,5000
4770,5000
7734,3000
2997,15000
3785,3500
4183,10000
8536,2500
9697,1000
3332,24500
3109,2000
9642,1000
337,10000
3003,8500
1131,8500
3768,7000
239,7000
7442,5500
885,8500
7345,500
3557,1500
80,13000
3751,10500
4797,9000
7157,500
3161,15000
1249,63500
8365,9000
7461,1000
2680,500
8786,10000
6869,1000
7912,2500
1870,5000
1098,15500
5660,40500
1969,18500
7828,9000
8344,20000
1709,2500
1806,1000
6837,1500
3745,2000
4561,500
5647,15500
1380,9500
3319,1000
3036,20500
2646,500
5369,16500
1134,1000
7507,6000
7151,18500
3080,6000
8223,5500
5970,500
4503,6000
8172,2500
2012,13000
4670,22500
8097,3500
8049,1000
7262,33500
6792,7500
8841,37500
8546,68000
5967,1500
1149,6000
9141,166500
2256,5000
6415,500
4459,7000
5576,500
4345,2500
284,3000
462,500
6116,3500
593,3500
178,13500
7150,17500
7008,500
1045,3000
5588,500
5367,37000
826,10000
170,1000
14,9500
5239,59500
1169,11000
5759,4000
5411,7000
7415,1000
3138,2500
2294,1500
2968,1000
3364,1000
435,61000
1843,7500
2309,13500
28,9000
6098,1500
8836,2500
1212,4500
7582,1500
7540,6000
8632,2500
8111,13000
584,500
4542,6000
9842,3500
9372,500
9773,1000
2564,21000
1195,2000
6748,1000
3739,1500
5654,1500
1247,9500
6380,9500
805,1500
1272,6500
6460,6500
45,16500
5780,1500
2559,10500
6762,500
1137,11000
5397,2500
8236,8500
2482,4000
5680,3500
3448,6000
719,500
1710,2500
5833,21000
6175,5500
8090,1500
3234,11500
2229,2500
1392,11000
986,10000
2251,500
9743,3000
1139,3000
7426,2500
7626,3500
3991,1500
6731,1000
169,5000
9813,5500
3082,23500
6004,1000
309,500
7204,7000
4347,2000
9341,1000
4628,6500
5776,5500
6014,9500
6921,44000
5335,13000
6509,6000
4303,10000
37,3000
8044,81000
6409,3000
7762,3000
5179,1500
918,2500
7993,23000
9592,1500
9369,2000
7397,1500
9637,1000
9000,7500
6087,2000
2853,500
5185,2500
721,2500
2126,19000
4371,5500
5175,500
5835,1000
663,10000
3197,1500
117,42000
1562,5500
5517,1500
2388,3000
9358,17500
9442,500
9404,500
9458,2500
8137,32000
1927,4500
7422,2000
4049,4500
5408,5500
8978,500
6688,1000
7971,7000
3431,500
3195,3500
1448,10000
1117,6500
5563,12500
2716,32000
6067,6000
6292,7500
1526,8500
1592,1000
6848,500
1489,15500
8887,5000
9043,15500
5013,4500
5325,1500
7551,9000
1614,4000
3514,335000
3619,7000
6580,8500
3084,7500
8425,2000
2617,2000
508,3500
6831,22500
1997,5000
2226,2000
6763,1500
5394,23000
6317,4500
9818,4500
2266,2500
9575,2500
5734,1000
1387,4000
9129,500
2674,8000
5160,1000
9180,10000
7381,500
914,1000
8906,8500
5750,1000
193,500
7093,7500
5709,500
1000,3500
1265,4500
3780,3000
2798,63500
515,2500
799,30000
1143,1000
8819,1500
5591,3000
1211,500
9441,7000
2828,9000
8352,500
6687,500
8540,500
8986,1000
126,16500
8508,1000
7185,3000
2243,3000
1061,11500
5416,3500
8192,3500
6288,1500
2648,5500
902,500
1673,26500
8865,500
5162,1500
3462,8000
3269,16000
8720,35000
1267,6500
8189,8500
2953,1500
1608,18500
7272,500
6895,3000
1433,5000
3870,500
7712,1000
514,4500
220,8500
7982,1000
2242,3500
1065,500
4074,6500
4107,18500
3907,500
7027,12500
397,12000
6258,4500
6104,8000
7433,1000
6519,2000
6651,10000
8349,500
1938,1000
1538,4000
8996,1000
2299,9000
9433,1000
6368,1500
5887,55000
3825,500
5914,2500
9912,500
1642,15500
2599,8500
274,859000
2709,10000
8468,4000
2008,1500
8687,2000
7489,10000
2838,2500
9890,5000
2216,1000
7976,4500
962,8000
5498,3500
6917,7500
8061,1500
3638,12500
1958,2000
6740,500
216,500
4301,500
6351,8000
4035,1000
2457,6500
9034,2500
7900,4500
8358,2500
1413,2000
166,1500
1596,6000
1399,13000
6640,100500
405,4500
5247,500
7965,4000
5153,167000
3011,3000
3066,1000
5401,4000
2422,6500
3769,11500
7636,1000
3052,500
8867,2500
1524,500
1795,9000
6300,500
319,10500
8685,1500
6984,3000
614,500
8963,1000
7354,500
8051,3000
2771,22000
8187,14500
9975,5500
7893,1000
2683,500
3188,29500
25,2000
7659,8500
3221,13000
7259,4000
6172,8500
2885,4000
3133,7500
500,2500
4848,500
509,1000
5352,500
2160,500
2455,500
6506,8000
5943,1000
2679,500
6479,4500
7609,1000
8293,3500
1052,14500
8519,500
9104,10000
7943,2000
6705,20000
8494,14500
4786,4000
4097,3000
977,6000
9416,500
52,2000
5414,1500
4286,500
7544,500
1853,2500
3328,500
2131,4000
1602,1000
2992,4000
3665,500
7784,1500
2236,1000
5630,22500
6350,8000
5448,1000
3506,500
3237,7500
6085,1500
9059,3500
3631,500
4570,500
3374,500
9362,8500
8018,1000
1333,1500
691,15000
8124,2000
4398,3000
7265,4500
7537,4500
9863,5500
1908,9000
3672,2000
3884,2500
4066,5000
5924,7000
4920,3500
4222,23000
6716,2500
4280,500
1367,2500
4994,12500
5652,2000
4793,10000
5880,2500
3359,500
4370,2500
249,1000
2270,5000
1868,42500
7379,1500
789,21000
2871,1000
2536,1000
7131,1000
4968,4000
4879,6000
5208,500
5778,5000
3781,9000
2360,14500
3818,1500
8577,500
3590,3000
2545,2500
4456,3000
8478,2000
2325,6000
1615,3500
8704,2000
4195,10000
2667,1000
2543,7000
2609,7500
5527,1000
1976,1500
5743,7500
1532,5500
5803,6000
5620,2000
7322,6000
7868,4000
8020,10000
1390,500
4849,2000
644,330500
9061,17500
6077,7500
4010,116500
4414,8500
6352,11000
3330,1000
8397,500
8211,2500
8585,17000
3898,500
9357,4500
777,3500
3827,1000
5610,3000
3412,500
4142,32500
9323,8000
1967,8500
8498,6000
9864,7000
5971,3500
4624,3000
5035,500
7271,13500
9676,20500
4584,3000
1869,1500
1036,39500
8944,18500
6359,10000
2060,14000
5066,11500
1576,18000
9238,4000
3417,12000
2705,2000
2558,5000
8532,3000
3841,1000
3933,3000
4186,3500
649,26500
3824,1500
2135,7500
267,1000
8838,1000
7790,3000
996,1000
7918,78500
7094,8000
5612,34500
8028,2500
7690,8000
5009,1000
2233,500
678,14000
4403,2500
4560,16000
6903,5500
3854,1500
2081,8500
4044,1000
6905,10000
3791,9500
526,1500
5789,13500
8620,11500
6825,1500
413,4500
4686,2000
8995,1500
3605,1500
8406,4000
6473,1000
2384,500
8842,3500
8870,61500
6655,9500
1153,3000
4515,500
7410,4000
8792,4500
4888,13000
8681,2500
6608,500
4485,500
5365,11000
3900,9000
298,500
8374,9500
9847,28000
10000,10000
302,1000
330,4000
7942,16000
6164,8000
505,3500
9973,3000
9436,4500
6777,3000
952,12000
479,4500
2098,500
3088,2500
8017,500
136,21000
4377,1000
6395,500
1085,13000
790,21500
5919,15000
5926,500
2157,1500
6872,15500
4358,1000
5463,10500
2073,1000
6147,22500
9503,1000
2864,1500
3420,5000
7949,5000
1033,1500
7082,2000
7583,14000
4228,9500
5037,7500
7439,3000
8871,3000
3966,5500
9385,5000
8834,3000
9169,1000
1792,11500
1750,2500
7166,6500
3378,9000
4870,500
2621,8000
5273,9500
5753,10000
38,2000
6035,4500
9819,1500
8161,19500
1915,9500
2378,2000
2286,13500
4851,5000
2940,4000
8240,500
5255,1500
7325,3000
7103,6500
8381,2500
4829,2500
4024,4000
6843,7000
8827,8000
9260,6000
9631,33500
1218,7500
6323,2500
9781,1000
2068,2000
9103,4500
9279,1500
2612,5000
3712,500
7424,2500
1713,40500
683,1500
8835,15500
9735,4000
6145,9500
7593,500
3614,5500
4443,3500
8034,2000
4192,1000
1855,15500
9702,1500
120,1000
3181,9500
6786,5000
6335,2000
1672,1500
6736,1000
6201,32000
7945,5000
8032,7000
5342,500
5180,18000
3632,3500
6020,2500
383,4500
7347,500
9993,4000
110,8000
3658,16000
208,14500
4674,17000
9760,2000
2766,1000
3139,2000
7216,288500
395,500
1054,6500
6561,500
9797,500
3924,15500
700,4000
8674,500
1656,3000
9187,2500
6664,1500
4405,5000
8171,33500
5288,10000
3379,500
5877,13000
7106,2500
6582,1000
2085,500
5731,500
5064,1500
9536,6000
6065,8500
9272,6500
1325,17500
4534,500
9294,7000
3694,2500
9127,1000
1154,500
9422,2500
2741,7000
5773,2500
7320,4000
440,500
9694,8500
3842,6500
7909,3500
4621,10000
9109,1000
204,4000
3165,500
9785,1000
2425,18500
8682,51000
2147,3000
6050,14000
1857,8000
4911,13500
6390,4500
9681,7000
3639,6500
6294,9000
4725,14000
2495,4000
1907,17000
1080,24500
5072,170500
8303,1000
3183,1000
1132,2000
7694,2000
3757,3000
2278,25000
7118,5500
6663,500
2202,13500
1251,5500
5460,1500
6985,3500
8950,2500
8471,1500
9258,4500
9008,2000
9550,3000
2637,3500
5540,500
16,500
1543,4500
9724,4000
3858,500
9400,500
3496,9000
2019,6000
8779,10500
4181,500
4437,2500
6812,1000
4971,8000
2579,1000
3295,15500
731,10000
426,2000
1491,2500
7903,22500
7295,4000
5373,113000
2087,500
7720,500
2045,500
2586,6000
1959,1000
5484,10500
6437,5000
1640,20500
3499,13000
7490,3000
8483,1000
5842,500
1364,6500
5197,1000
2996,500
1336,1500
5227,68500
2070,1000
9838,2000
7627,15000
6936,6500
2020,500
7467,12000
9144,54500
6498,1000
3961,5000
4639,1000
2342,5500
2624,500
7528,1000
1861,1000
7585,17500
2307,500
7277,1000
8319,2000
1979,56500
3888,3500
3623,42500
4817,2500
6745,2500
4890,10000
8726,2000
1948,2500
6551,1500
3173,24000
1293,4500
1122,500
9855,3000
4715,6500
5627,3500
6556,1000
1025,500
1950,9500
2841,2500
1361,500
5257,5000
2752,1000
7010,2000
5102,500
543,16500
4146,6500
8811,10000
167,3000
9768,5000
1860,10000
3594,1500
6737,1000
4583,1500
934,2500
9581,4000
137,9500
9116,1500
2672,10000
1519,6000
8489,2500
219,5500
545,14000
6884,3000
7665,81000
1446,1000
4008,9000
4769,1000
552,14500
9738,4500
4500,2000
66,2500
7323,4500
6970,8500
5678,1500
480,1000
1069,3000
715,4000
6016,7000
9722,7000
9010,500
3204,500
4980,9000
114,1000
3532,26500
253,3000
4894,4500
5834,5500
5928,17500
1833,16000
1092,3000
737,500
8174,2000
5963,30000
511,1500
3153,1500
5933,1000
7586,2000
1340,6500
1043,1500
4193,1000
158,9000
8776,1500
2093,1500
5287,1500
3089,2000
9012,12000
7044,20500
4336,8000
5770,1500
3180,1000
6471,5000
6829,1000
2184,3000
1650,7500
6938,500
8952,5000
2700,2500
5712,3500
2056,12000
5930,1500
7721,1000
7339,2500
7307,32000
7335,1000
7403,500
9811,4000
5057,1000
7013,500
9145,5000
4344,6500
6206,4500
6609,3500
2452,3000
8308,500
4574,54500
4513,10000
3831,1000
3283,8000
3705,500
9125,4500
7923,500
1819,2500
8484,3000
6179,1000
7536,500
7003,7000
8731,1000
3974,500
2042,1000
1739,6500
1724,2000
2613,5500
7195,2000
2652,2500
3038,1500
9410,16500
3101,6500
4590,10000
3045,500
3901,500
9520,6500
8163,5000
8879,4500
9411,39000
5063,1000
411,15500
4487,27000
145,4000
3868,14000
1357,12000
1269,7500
6316,2500
4068,500
7293,1000
4376,12500
4412,6500
4267,1000
7369,9000
2856,1500
1159,1000
5292,1500
8757,4000
4006,25000
1871,8000
105,9000
1363,5500
6545,500
8833,4000
2478,1000
4695,1500
1728,500
1203,1000
7045,4500
3928,2000
1909,15500
7219,12500
3919,35500
386,2500
3495,500
625,500
1717,1500
5311,16500
2577,1000
3855,2000
70,3000
2654,5500
8529,1000
237,1000
2354,14000
9852,4500
6374,2500
7333,2000
2071,4000
3315,10000
1315,7000
2364,4500
7062,1000
1880,4500
1611,7500
9888,19500
2898,2000
2207,1000
9086,33000
5599,45000
5012,1500
3505,500
1641,1000
6890,1000
2651,92500
1210,2500
7727,6000
9987,500
3142,6500
5272,1000
4508,1500
9021,6500
5388,7500
8225,2500
5973,3000
5426,7000
6003,4000
991,9000
7547,6000
3502,500
4872,5500
4947,1500
9843,9500
2944,3500
2808,1000
8698,16500
8550,3500
2937,9500
8196,500
1290,500
9701,1000
7765,4500
5300,14000
6192,1500
7395,10000
3316,2000
4779,2500
3703,500
5146,1000
4017,122500
6553,2000
4005,4500
2837,8500
8325,4000
1009,2500
2387,4500
5478,1500
1689,2000
9547,4500
6683,1500
2498,2500
5424,500
2083,1000
3004,10000
1355,3500
5771,15000
2469,1500
8525,1500
7367,500
5626,14000
8680,2000
692,3500
3719,5000
6863,9000
2821,3000
8684,500
7794,500
4063,10000
218,12500
1630,2000
9365,22000
6458,5500
9128,500
3268,2000
